Facility Name,Website,City,State,Facility Type,Sports Offered,Indoor Court Status,Number of Courts,Court Count Notes,Square Footage,Square Footage Notes,Decision Maker First Name,Decision Maker Last Name,Decision Maker Title,Phone,Public Direct Email,Shared Facility Email,Guessed Email 1,Guessed Email 2,Guessed Email 3,Guessed Email 4,Guessed Email 5,Guessed Email 6,Email Domain,Qualification Status,Research Notes,Source URLs,Retrieval Method,Requested URL,Final URL,Failure Reason
NYC Footy,https://www.nycfooty.com/,East Rutherford,NJ,Unknown,futsal,Indoor,,,,,,,,,,info@nycfooty.com,,,,,,,nycfooty.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.nycfooty.com/ | https://www.nycfooty.com/about | https://www.betterplayer.com/ | https://www.nycfooty.com/contact | https://www.nycfooty.com/promotional-calendar-and-discount-programs,Playwright,https://nycfooty.com,https://www.nycfooty.com/,
"NYC's YMCA: Gyms, Pools & Programs Near You",https://ymcanyc.org/,,NJ,YMCA / JCC,tennis; basketball; volleyball,Indoor,,,,,Stephen,Forcione,Founder,,,info@ymcanyc.org,stephen@ymcanyc.org,stephen.forcione@ymcanyc.org,stephenforcione@ymcanyc.org,sforcione@ymcanyc.org,s.forcione@ymcanyc.org,stephenf@ymcanyc.org,ymcanyc.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://ymcanyc.org/ | https://ymcanyc.org/about | https://ymcanyc.org/about/board-directors | https://ymcanyc.org/about/senior-staff | https://ymcanyc.org/about/reports-publications | https://ymcanyc.org/programs/community/new-americans-initiative | https://ymcanyc.org/contact-the-ymca,Playwright,https://ymcanyc.org,https://ymcanyc.org/,
"Official Website of the Borough of Fair Lawn, NJ",https://fairlawn.org/,Fair Lawn,NJ,Unknown,pickleball; tennis; basketball; volleyball; badminton,Indoor,26,Weights and Measure violations Private Citizen complaints-traffic and criminal Fair Lawn 2026 Court Dates Municipal Court Documents The Collections Of Fines For Summonses Department Directo,,,,,,(201) 796-1700,,,,,,,,,fairlawn.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://fairlawn.org/ | https://fairlawn.org/about-fair-lawn | https://fairlawn.org/departments | https://fairlawn.org/index.asp | https://fairlawn.org/emergency-management | https://fairlawn.org/court,Playwright,https://fairlawn.org,https://fairlawn.org/,
Open Play Pickleball,https://openplaypickleball.com/,Florham Park,NJ,Pickleball Club,pickleball,Indoor,,,,,,,,(973) 302-5268,,play@openplaypickleball.com,,,,,,,openplaypickleball.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://openplaypickleball.com/,Playwright,https://openplaypickleball.com,https://openplaypickleball.com/,
Padel United Sports Club,https://www.padelunitedsportsclub.com/,Cresskill,NJ,Private Club,pickleball; tennis; squash; padel,Indoor,,,,,,,,(201) 328-0006,,hello@padelunitedsportsclub.com,,,,,,,padelunitedsportsclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.padelunitedsportsclub.com/ | https://www.padelunitedsportsclub.com/adult-padel-program-cresskill | https://www.padelunitedsportsclub.com/download-app | https://www.padelunitedsportsclub.com/about-padel | https://www.padelunitedsportsclub.com/programs | https://www.padelunitedsportsclub.com/meet-the-pros | https://www.padelunitedsportsclub.com/our-programs,Playwright,https://padelunitedsportsclub.com,https://www.padelunitedsportsclub.com/,
Parsippany Police Athletic League,https://parsippanypal.org/,Parsippany,NJ,Health Club,pickleball; tennis; basketball,Indoor,,,,,JAMES,GARRICK,President,(973) 335-0555,,info@parsippanypal.org,james@parsippanypal.org,james.garrick@parsippanypal.org,jamesgarrick@parsippanypal.org,jgarrick@parsippanypal.org,j.garrick@parsippanypal.org,jamesg@parsippanypal.org,parsippanypal.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://parsippanypal.org/ | https://parsippanypal.org/about-us/ | https://parsippanypal.org/about-us/our-team/ | https://parsippanypal.org/about-us/board/ | https://parsippanypal.org/about-us/contact/ | https://parsippanypal.org/about-us/directions/,Playwright,https://parsippanypal.org,https://parsippanypal.org/,
Passion Pickleball,https://www.passionpickleball.org/,Midland Park,NJ,Pickleball Club,pickleball,Indoor,,,,,,,,(201) 509-5453,,office@passionpickleball.org,,,,,,,passionpickleball.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.passionpickleball.org/ | https://www.passionpickleball.org/contact,Playwright,https://passionpickleball.org,https://www.passionpickleball.org/,
PB Club,https://playpbclub.com/,Jersey City,NJ,Private Club,pickleball,Indoor,24,eservation (5-7am and 10pm-1am): $40 NON-MEMBER Session Type Peak Off-Peak Open Play $30 $24 Court Reservation $100 $80 MEMBER Session Type Peak Off-Peak Open Play $24 $19 Court Reservatio,,,,,,(201) 371-7668,coaches@playpbclub.com,support@playpbclub.com,,,,,,,playpbclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://playpbclub.com/,Playwright,https://playpbclub.com,https://playpbclub.com/,
Pinnacle Health and Fitness,https://www.pinnacle-nj.com/,Hillsborough,NJ,School,pickleball; basketball; racquetball,Indoor,4,"Health and Fitness Racquetball - NJ Pickleball Courts - Pinnacle Health and Fitness With 4 Racquetball Courts on site, Pinnacle Offers Daily Court Reservations, Racquetball Leagues, and Adult & Junio",,,GREGG,WILKE,Owner,(908) 359-3600,gwilke@pinnacle-nj.com,info@pinnacle-nj.com,,,,,,,pinnacle-nj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.pinnacle-nj.com/ | https://www.pinnacle-nj.com/about | https://www.pinnacle-nj.com/contact | https://www.pinnacle-nj.com/membership | https://www.pinnacle-nj.com/schedules | https://www.pinnacle-nj.com/aquatics-program,Playwright,https://pinnacle-nj.com,https://www.pinnacle-nj.com/,
PlayMore Sport & Social Club,https://www.playmorenj.com/,West Berlin,NJ,College / University,basketball; volleyball,Indoor,,,,,,,,(609) 878-0234,playmoresj@gmail.com,,,,,,,,playmorenj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.playmorenj.com/ | https://www.playmorenj.com/learn-more/,Playwright,https://playmorenj.com,https://www.playmorenj.com/,
"PR Newswire: press release distribution, targeting, monitoring and marketing",https://www.prnewswire.com/,,NJ,Unknown,pickleball; tennis,Indoor,,,40000,"e together. Our ... Jun 9, 2025 ... The state-of-the-art facility will span approximately 40,000 square feet and feature 14 professional-grade indoor courts. It is targeting an ...",,,,(888) 776-0942,,,,,,,,,prnewswire.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank.,https://www.prnewswire.com/ | https://www.prnewswire.com/contact-us/general-inquiries/ | https://www.prnewswire.com/contact-us/editorial-bureaus/ | https://www.prnewswire.com/contact-us/partnerships/ | https://www.prnewswire.com/contact-us/media-inquiries/ | https://www.prnewswire.com/contact-us/worldwide-offices/,Playwright,https://prnewswire.com,https://www.prnewswire.com/,
Princeton Volleyball Club (NJ),https://www.princetonvbc.com/,Princeton,NJ,YMCA / JCC,volleyball,Indoor,,,,,,,,(732) 718-0644,,,,,,,,,princetonvbc.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.princetonvbc.com/ | https://www.princetonvbc.com/clubprograms | https://www.princetonvbc.com/facilities | https://www.princetonvbc.com/staff,Playwright,https://princetonvbc.com,https://www.princetonvbc.com/,
Private Catholic School in NJ,https://www.oakknoll.org/,Summit,NJ,School,tennis; volleyball,Indoor,,,,,,,,(908) 522-8189,,,,,,,,,oakknoll.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.oakknoll.org/ | https://www.oakknoll.org/about-us/employment | https://www.oakknoll.org/about-us | https://www.oakknoll.org/about-us/mission-values | https://www.oakknoll.org/about-us/meet-the-head-of-school | https://www.oakknoll.org/about-us/oak-knoll-at-100 | https://www.oakknoll.org/about-us/our-second-century,Playwright,https://oakknoll.org,https://www.oakknoll.org/,
Proshot,https://playproshot.com/,Egg Harbor Township,NJ,Private Club,pickleball,Indoor,8,"facility, where passion meets precision! Proshot Pickleball in Egg Harbor Township is an 8 court indoor facility with changing rooms, 1000 sq. ft. player lounge, Proshot café and a pro s",,,,,,(609) 867-6439,,hello@playproshot.com,,,,,,,playproshot.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://playproshot.com/ | https://playproshot.com/about/ | https://playproshot.com/about/court-layout/ | https://playproshot.com/learn/facility-tour/ | https://playproshot.com/pricing/ | https://playproshot.com/about/instructors/,Playwright,https://playproshot.com,https://playproshot.com/,
Rally Zone,https://www.rally-zone.com/,Jersey City,NJ,Unknown,pickleball; tennis,Indoor,1,"e ball machine suitable for dink, volley, and baseline practice? 5. Can two players share one pickleball court rental slot? 6. Can beginners use the pickleball ball machine during their session? 7. Ho",,,,,,(201) 539-0371,abc@gmail.com,info@rally-zone.com,,,,,,,rally-zone.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.rally-zone.com/ | https://www.rally-zone.com/book-now | https://www.rally-zone.com/tennis-membership | https://www.rally-zone.com/about-us | https://www.rally-zone.com/contact-us | https://www.rally-zone.com/pickleball-lessons,Playwright,https://rally-zone.com,https://www.rally-zone.com/,
Ridgewood Racquet Club,https://ridgewoodracquetclub.com/,Ridgewood,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,JD,Bradley,Director of Tennis,(201) 652-1991,,info@ridgewoodracquet.com,jd@ridgewoodracquet.com,jd.bradley@ridgewoodracquet.com,jdbradley@ridgewoodracquet.com,jbradley@ridgewoodracquet.com,j.bradley@ridgewoodracquet.com,jdb@ridgewoodracquet.com,ridgewoodracquet.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://ridgewoodracquetclub.com/ | https://ridgewoodracquetclub.com/contact-us,Playwright,https://ridgewoodracquetclub.com,https://ridgewoodracquetclub.com/,
Robbinsville Pickle House,https://robbinsvillepicklehouse.com/,Robbinsville Twp,NJ,Private Club,pickleball,Indoor,19,"insville Pickle House | Open Year-Round Play pickleball at the Robbinsville Pickle House! 19 indoor pickleball courts, the Kitchen+Tap, and private events open year-round. Play pickleball at the Robbinsville",,,,,,(609) 322-5700,,info@robbinsvillepicklehouse.com,,,,,,,robbinsvillepicklehouse.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://robbinsvillepicklehouse.com/ | https://robbinsvillepicklehouse.com/membership/ | https://robbinsvillepicklehouse.com/pickleball/court-rentals/ | https://robbinsvillepicklehouse.com/pickleball/junior-pickleball-programs/ | https://robbinsvillepicklehouse.com/contact/,Playwright,https://robbinsvillepicklehouse.com,https://robbinsvillepicklehouse.com/,
Rockaway River Country Club,https://rockawayrivercc.clubhouseonline-e3.com/,Denville,NJ,Country Club,tennis,Indoor,,,,,,,,(973) 627-0063,club@rockawayrivercc.com,,,,,,,,rockawayrivercc.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://rockawayrivercc.clubhouseonline-e3.com/,Playwright,https://rockawayrivercc.clubhouseonline-e3.com,https://rockawayrivercc.clubhouseonline-e3.com/,
Rutgers University Athletics,https://scarletknights.com/,,NJ,College / University,tennis; basketball; volleyball,Indoor,,,,,,,,,autmis@scarletknights.com,,,,,,,,scarletknights.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://scarletknights.com/ | https://scarletknights.com/sports/2017/6/11/facilities-stadium-code-of-conduct-html | https://scarletknights.com/sports/2017/6/11/cheer | https://scarletknights.com/sports/2017/6/11/facilities-football-html | https://scarletknights.com/facilities | https://scarletknights.com/sports/2017/6/28/facility-rental-information | https://scarletknights.com/podcasts,Playwright,https://scarletknights.com,https://scarletknights.com/,
Saint Nicholas Greek Orthodox Church,https://www.stnicholasnj.org/,Wyckoff,NJ,College / University,basketball,Indoor,,,,,,,,(201) 652-4774,,office@stnicholasnj.org,,,,,,,stnicholasnj.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.stnicholasnj.org/ | https://www.stnicholasnj.org/clergy-staff | https://www.stnicholasnj.org/contact-us | https://www.stnicholasnj.org/our-parish,Playwright,https://stnicholasnj.org,https://www.stnicholasnj.org/,
SCP Youth Soccer,https://www.scpyouthsoccer.org/,Kenilworth,NJ,Private Club,futsal,Indoor,,,,,,,,,scpyouthsoccer@gmail.com,,,,,,,,scpyouthsoccer.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.scpyouthsoccer.org/ | https://www.scpyouthsoccer.org/programs.html | https://www.scpyouthsoccer.org/about.html | https://www.scpyouthsoccer.org/contact.html,Playwright,https://scpyouthsoccer.org,https://www.scpyouthsoccer.org/,
Secaucus Recreation,https://www.secaucusrecreation.org/,Teterboro Airport,NJ,Unknown,tennis; basketball,Indoor,2,"acility features a full-court basketball court, an indoor ... court basketball courts and two tennis courts. Click on this image for ... Recreation center · HOURs of Operations: Monday-Friday 5:30A",,,,,,(201) 330-2078,,,,,,,,,secaucusrecreation.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.secaucusrecreation.org/,Playwright,https://secaucusrecreation.org,https://www.secaucusrecreation.org/,
Seton Hall University Athletics,https://shupirates.com/,South Orange,NJ,College / University,tennis; basketball; volleyball,Indoor,,,,,,,,(973) 275-6447,,,,,,,,,shupirates.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://shupirates.com/ | https://shupirates.com/sports/2016/7/10/sports-pirate-blue-spec-rel-seha-pirate-blue-about-us-html | https://shupirates.com/sports/2016/7/10/sports-pirate-blue-spec-rel-seha-pirate-blue-membership-html | https://shupirates.com/sports/2016/7/10/school-bio-seha-athletics-communications-html | https://shupirates.com/facilities | https://shupirates.com/sports/h-a-l-l-program | https://shupirates.com/sports/2020/6/9/seton-hall-athletics-mission-statement,Playwright,https://shupirates.com,https://shupirates.com/,
Sitch Sports,https://www.sitchsports.com/,Newark,NJ,School,tennis; volleyball; futsal,Indoor,,,,,,,,,,,,,,,,,sitchsports.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.sitchsports.com/ | https://www.sitchsports.com/lessons | https://www.sitchsports.com/about-us | https://www.sitchsports.com/membership | https://www.sitchsports.com/contact-us,Playwright,https://sitchsports.com,https://www.sitchsports.com/,
South Plainfield Badminton Club,https://southplainfieldbadminton.com/,South Plainfield,NJ,School,badminton,Indoor,4,"ainfield, NJ - 07080. Information regarding Courts and Booking: 1) SPBC currently feature 4 indoor court 2) Players need to book full court (or) reserve a OpenPlay spot in order to use our facil",,,,,,(201) 204-8949,,contact@southplainfieldbadminton.com,,,,,,,southplainfieldbadminton.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://southplainfieldbadminton.com/ | https://southplainfieldbadminton.com/index.html,Playwright,https://southplainfieldbadminton.com,https://southplainfieldbadminton.com/,
St. Joseph's CYO,https://www.stjosephscyo.org/,South Orange,NJ,Health Club,basketball; volleyball,Indoor,,,,,Gerry,O'Connor,Program Director,,,,gerry@stjosephscyo.org,gerry.oconnor@stjosephscyo.org,gerryoconnor@stjosephscyo.org,goconnor@stjosephscyo.org,g.oconnor@stjosephscyo.org,gerryo@stjosephscyo.org,stjosephscyo.org,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.stjosephscyo.org/ | https://www.stjosephscyo.org/about-us/ | https://www.stjosephscyo.org/contact-us/ | https://www.stjosephscyo.org/show-your-celtic-pride-order-your-team-gear/,Playwright,https://stjosephscyo.org,https://www.stjosephscyo.org/,
"Superdome Sports in Alabama, United States",https://superdome-sports.sportsgrounds.us.com/,Waldwick,NJ,Indoor Sports Complex,tennis; basketball; volleyball; badminton; squash,Indoor,,,,,,,,,,,,,,,,,superdome-sports.sportsgrounds.us.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://superdome-sports.sportsgrounds.us.com/,Playwright,https://superdome-sports.sportsgrounds.us.com,https://superdome-sports.sportsgrounds.us.com/,
TAPinto,https://www.tapinto.net/,New Providence,NJ,Unknown,pickleball; tennis; basketball,Indoor,,,,,,,,(908) 279-0303,,,,,,,,,tapinto.net,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.tapinto.net/ | https://www.tapinto.net/pages/about-tapinto | https://www.tapinto.net/pages/contact-us,Playwright,https://tapinto.net,https://www.tapinto.net/,
tennisdynamicsofnj.com,https://www.tennisdynamicsofnj.com/,,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(973) 916-1882,be9bi@aol.com,,,,,,,,tennisdynamicsofnj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.tennisdynamicsofnj.com/ | https://www.tennisdynamicsofnj.com/about-us,Playwright,https://tennisdynamicsofnj.com,https://www.tennisdynamicsofnj.com/,
tennisdynamicsofnj.com,https://www.wayneindoortennisclub.com/,Wayne Township,NJ,Racquet / Tennis Club,tennis,Indoor,,,,,,,,(973) 305-4782,,,,,,,,,wayneindoortennisclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.wayneindoortennisclub.com/ | https://www.wayneindoortennisclub.com/2024-2025-court-rates | https://www.wayneindoortennisclub.com/bob-bynums-junior-tennis-programs,Playwright,https://wayneindoortennisclub.com,https://www.wayneindoortennisclub.com/,
The Clubhouse,https://www.njclubhouse.com/,Orange,NJ,College / University,basketball,Indoor,,,,,Adam,Harrington,Founder,,,info@njclubhouse.com,adam@njclubhouse.com,adam.harrington@njclubhouse.com,adamharrington@njclubhouse.com,aharrington@njclubhouse.com,a.harrington@njclubhouse.com,adamh@njclubhouse.com,njclubhouse.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program). Guessed emails are UNVERIFIED pattern permutations - not published addresses.,https://www.njclubhouse.com/ | https://www.njclubhouse.com/contact | https://www.njclubhouse.com/the-team,Playwright,https://njclubhouse.com,https://www.njclubhouse.com/,
The FA Website,https://www.thefootballacademynj.com/,Florham Park,NJ,School,futsal,Indoor,,,,,,,,,,info@thefootballacademynj.com,,,,,,,thefootballacademynj.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.thefootballacademynj.com/ | https://www.thefootballacademynj.com/programs,Playwright,https://thefootballacademynj.com,https://www.thefootballacademynj.com/,
The Fieldhouse,https://www.njfieldhouse.com/,Northvale,NJ,Fieldhouse,basketball; volleyball,Indoor,2,"deal venue for your next game or practice. Book Basketball courts The Fieldhouse features two basketball courts for private, team, or league rentals. Our courts are available for rent by the basket, ha",,,,,,(201) 588-5800,,info@njfieldhouse.com,,,,,,,njfieldhouse.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.njfieldhouse.com/ | https://www.njfieldhouse.com/memberships | https://www.njfieldhouse.com/rentals | https://www.njfieldhouse.com/facility-waiver | https://www.njfieldhouse.com/contact-us | https://www.njfieldhouse.com/about-us | https://www.njfieldhouse.com/rental-inquiries,Playwright,https://njfieldhouse.com,https://www.njfieldhouse.com/,
The Gym Maplewood,https://www.thegymmaplewood.com/,Maplewood,NJ,Health Club,basketball; volleyball,Indoor,,,3400,"cility located on Springfield Avenue, serving Maplewood and South Orange, New Jersey. Our 3,400 sq. ft. bright and open space is an ideal place for parents and kids to be active together. Base",Timothy,Reynolds,Owner,(866) 843-4966,reynolds@thegymmaplewood.com,reservations@thegymmaplewood.com,,,,,,,thegymmaplewood.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No court count stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.thegymmaplewood.com/ | https://www.thegymmaplewood.com/about-us | https://www.thegymmaplewood.com/our-facility | https://www.thegymmaplewood.com/contact-us,Playwright,https://thegymmaplewood.com,https://www.thegymmaplewood.com/,
THE INFINITY SPORTS CLUB,https://www.theinfinitysportsclub.com/,,NJ,Private Club,pickleball; basketball; volleyball,Indoor,,,,,,,,(201) 584-1888,,,,,,,,,theinfinitysportsclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: zip. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.theinfinitysportsclub.com/ | https://www.theinfinitysportsclub.com/contact-1 | https://www.theinfinitysportsclub.com/book-pickleball | https://www.theinfinitysportsclub.com/volleyball-training | https://www.theinfinitysportsclub.com/sports-overview,Playwright,https://theinfinitysportsclub.com,https://www.theinfinitysportsclub.com/,
The Jewish Standard,https://jewishstandard.timesofisrael.com/,Teaneck,NJ,School,tennis; basketball,Indoor,,,,,,,,(201) 837-8818,,office@jewishmediagroup.com,,,,,,,jewishmediagroup.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://jewishstandard.timesofisrael.com/ | https://jewishstandard.timesofisrael.com/about/ | https://jewishstandard.timesofisrael.com/contact/ | https://jewishstandard.timesofisrael.com/flying-toward-the-sun/ | https://jewishstandard.timesofisrael.com/emphasizing-positive-zionism/ | https://jewishstandard.timesofisrael.com/talking-about-mezuzot-online/ | https://jewishstandard.timesofisrael.com/about-zionism/,Playwright,https://jewishstandard.timesofisrael.com,https://jewishstandard.timesofisrael.com/,
The Racquets Club of Short Hills,https://theracquetsclub.com/,Short Hills,NJ,School,pickleball; tennis; squash,Indoor,,,,,,,,(973) 379-6080,,office@theracquetsclub.com,,,,,,,theracquetsclub.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://theracquetsclub.com/ | https://theracquetsclub.com/membership,Playwright,https://theracquetsclub.com,https://theracquetsclub.com/,
UCNJ,https://www.ucc.edu/,Scotch Plains,NJ,College / University,basketball; volleyball,Indoor,,,,,,,,(908) 709-7152,,,,,,,,,ucc.edu,Confirmed Indoor,Indoor court language found on site. NJ location evidence: address. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.ucc.edu/ | https://www.ucc.edu/facultyandstaff/ | https://www.ucc.edu/administration/ | https://www.ucc.edu/administration/human-resources/ | https://www.ucc.edu/administration/institutional-research/ | https://www.ucc.edu/administration/public-safety/ | https://www.ucc.edu/administration/the-office-for-equal-opportunity/title-ix/,Playwright,https://ucc.edu,https://www.ucc.edu/,
United Soccer Academy,https://unitedsocceracademy.com/,,NJ,School,tennis; basketball,Indoor,,,,,,,,(732) 563-2523,,,,,,,,,unitedsocceracademy.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: phone. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://unitedsocceracademy.com/ | https://unitedsocceracademy.com/club-soccer-services/club-plus | https://unitedsocceracademy.com/club-soccer-services/soccer-technical-training-center | https://unitedsocceracademy.com/programs/weekly-soccer-classes | https://unitedsocceracademy.com/programs/soccer-squirts | https://unitedsocceracademy.com/programs/other-squirts-info/other-sports-squirts | https://unitedsocceracademy.com/soccer-camps/host-a-soccer-camp,Playwright,https://unitedsocceracademy.com,https://unitedsocceracademy.com/,
US Sports Camps,https://www.ussportscamps.com/,,NJ,College / University,pickleball; tennis; basketball; volleyball,Indoor,,,,,,,,(800) 645-3226,,,,,,,,,ussportscamps.com,Confirmed Indoor,Indoor court language found on site. NJ location evidence: mention. No decision maker found on public pages. No court count stated by a reliable source; left blank. No square footage stated by a reliable source; left blank. Paid access signals present (membership/rental/program).,https://www.ussportscamps.com/ | https://www.ussportscamps.com/contact,Playwright,https://ussportscamps.com,https://www.ussportscamps.com/,
